County,County Code,avg_crude_rate,year,crude_rate,aqi_average_ambient_temperature,aqi_nitrogen_dioxide_no2,aqi_outdoor_temperature,aqi_ozone,aqi_pm2_5_local_conditions,aqi_wind_direction_resultant,aqi_wind_speed_resultant,veg_treecover_loss_ha
"DeKalb County, AL",1049,130.23529411764707,2009,127.0,14.758095,,,0.040602,9.67619,,,
"DeKalb County, AL",1049,130.23529411764707,2010,116.7,14.258824,,,0.049367,11.498058,,,
"DeKalb County, AL",1049,130.23529411764707,2011,148.5,16.208411,,,0.045966,11.185047,,,
"DeKalb County, AL",1049,130.23529411764707,2012,163.5,17.141964,,,0.047378,9.274107,,,
"DeKalb County, AL",1049,130.23529411764707,2013,155.2,14.528333,,,0.042367,8.991736,,,
"DeKalb County, AL",1049,130.23529411764707,2014,143.8,13.419266,,,0.043037,9.600917,,,
"DeKalb County, AL",1049,130.23529411764707,2015,181.7,16.216964,,,0.041555,9.085714,,,
"DeKalb County, AL",1049,130.23529411764707,2016,167.8,14.381667,,,0.045835,7.69569,,,
"Elmore County, AL",1051,85.27058823529413,2000,80.5,,,,0.0534035,,,,
"Elmore County, AL",1051,85.27058823529413,2001,65.2,,,,0.047204,,,,1120.0
"Elmore County, AL",1051,85.27058823529413,2002,78.6,,,,0.045717,,,,1200.0
"Elmore County, AL",1051,85.27058823529413,2003,81.5,,,,0.044298,,,,1082.0
"Elmore County, AL",1051,85.27058823529413,2004,78.9,,,,0.04594,,,,1774.0
"Elmore County, AL",1051,85.27058823529413,2005,76.7,,,,0.043671,,,,1125.0
"Elmore County, AL",1051,85.27058823529413,2006,79.7,,,,0.049922,,,,1443.0
"Elmore County, AL",1051,85.27058823529413,2007,75.2,,,,0.048387,,,,1723.0
"Elmore County, AL",1051,85.27058823529413,2008,75.9,,,,0.045502,,,,1623.0
"Elmore County, AL",1051,85.27058823529413,2009,78.8,,,,0.037938,,,,725.0
"Elmore County, AL",1051,85.27058823529413,2010,90.8,,,,0.045937,,,,1281.0
"Elmore County, AL",1051,85.27058823529413,2011,82.5,,,,0.045314,,,,1778.0
"Elmore County, AL",1051,85.27058823529413,2012,85.9,,,,0.04238,,,,1339.0
"Elmore County, AL",1051,85.27058823529413,2013,125.2,,,,0.038545,,,,1569.0
"Elmore County, AL",1051,85.27058823529413,2014,102.7,,,,0.040348,,,,1226.0
"Elmore County, AL",1051,85.27058823529413,2015,109.6,,,,0.037604,,,,1621.0
"Elmore County, AL",1051,85.27058823529413,2016,81.9,,,,0.042684,,,,1571.0
"Escambia County, AL",1053,96.68823529411765,2000,91.1,19.550877,,,,16.850435,,,
"Escambia County, AL",1053,96.68823529411765,2001,83.8,18.388889,,,,12.419091,,,4784.0
"Escambia County, AL",1053,96.68823529411765,2002,71.0,19.41453,,,,11.913675,,,4448.0
"Escambia County, AL",1053,96.68823529411765,2003,76.7,18.556667,,,,12.726667,,,2611.0
"Escambia County, AL",1053,96.68823529411765,2004,98.1,18.868182,,,,12.568182,,,6377.0
"Escambia County, AL",1053,96.68823529411765,2005,74.5,19.571028,,,,13.535185,,,6053.0
"Escambia County, AL",1053,96.68823529411765,2006,84.9,20.380165,,,,13.131405,,,5064.0
"Escambia County, AL",1053,96.68823529411765,2007,60.8,19.780374,,,,13.056758,,,3949.0
"Escambia County, AL",1053,96.68823529411765,2016,124.6,,,71.353034,,,179.802547,4.69499,2424.0
"Etowah County, AL",1055,157.55882352941177,2000,130.5,20.380488,,,,19.33253,,,
"Etowah County, AL",1055,157.55882352941177,2001,156.3,19.062766,,,,16.396809,,,845.0
"Etowah County, AL",1055,157.55882352941177,2002,165.1,17.265094,,,0.048683,14.942056,,,855.0
"Etowah County, AL",1055,157.55882352941177,2003,153.4,16.286957,,,0.047143,14.249565,,,539.0
"Etowah County, AL",1055,157.55882352941177,2004,141.6,16.367241,,,0.046441,14.37931,,,1401.0
"Etowah County, AL",1055,157.55882352941177,2005,150.2,16.814783,,,0.046276,15.513043,,,1112.0
"Etowah County, AL",1055,157.55882352941177,2006,142.0,17.722609,,,0.048347,14.513793,,,1444.0
"Etowah County, AL",1055,157.55882352941177,2007,135.7,19.032813,,,0.049355,15.247056,,,1208.0
"Etowah County, AL",1055,157.55882352941177,2008,155.5,16.717666,,,0.043747,12.375394,,,1356.0
"Etowah County, AL",1055,157.55882352941177,2009,159.2,16.718289,,,0.038269,9.9011235,,,797.0
"Etowah County, AL",1055,157.55882352941177,2010,152.3,17.099174,,,0.045333,12.9281735,,,761.0
"Etowah County, AL",1055,157.55882352941177,2011,174.6,16.929825,,,0.042545,11.423684,,,700.0
"Etowah County, AL",1055,157.55882352941177,2012,168.9,17.186325,,,0.041165,9.626496,,,988.0
"Etowah County, AL",1055,157.55882352941177,2013,181.1,16.869421,,,0.038966,9.230328,,,1120.0
"Etowah County, AL",1055,157.55882352941177,2014,149.0,16.266667,,,0.040601,9.335238,,,1096.0
"Etowah County, AL",1055,157.55882352941177,2015,195.4,17.579091,,,0.039366,9.109821,,,974.0
"Etowah County, AL",1055,157.55882352941177,2016,167.7,16.308333,,,0.045834,8.195575,,,1180.0
"Houston County, AL",1069,87.3,2000,103.6,17.64086,,,,15.679787,,,
"Houston County, AL",1069,87.3,2001,111.7,19.466667,,,,13.969444,,,646.0
"Houston County, AL",1069,87.3,2002,94.5,19.043689,,,,13.057692,,,621.0
"Houston County, AL",1069,87.3,2003,70.1,19.613483,,,,13.869663,,,1695.0
"Houston County, AL",1069,87.3,2004,89.6,21.132857,,,,13.727143,,,628.0
"Houston County, AL",1069,87.3,2005,77.7,19.865179,,,0.042544,13.200893,,,475.0
"Houston County, AL",1069,87.3,2006,78.3,19.963025,,,0.047706,12.940336,,,970.0
"Houston County, AL",1069,87.3,2007,69.6,21.906957,,,0.045835,12.9419605,,,490.0
"Houston County, AL",1069,87.3,2008,102.8,20.369912,,,0.041126,10.50885,,,471.0
"Houston County, AL",1069,87.3,2009,81.6,19.642105,,,0.037064,8.973053,,,542.0
"Houston County, AL",1069,87.3,2010,81.7,19.790909,,,0.043681,11.433891,,,659.0
"Houston County, AL",1069,87.3,2011,83.9,20.3,,,0.04456,10.193103,,,524.0
"Houston County, AL",1069,87.3,2012,91.9,20.361667,,,0.040775,8.7975,,,882.0
"Houston County, AL",1069,87.3,2013,100.4,19.315,,,0.037398,8.27,,,653.0
"Houston County, AL",1069,87.3,2014,81.6,20.506306,,,0.040107,8.702703,,,939.0
"Houston County, AL",1069,87.3,2015,87.3,21.395041,,,0.036239,7.310744,,,625.0
"Houston County, AL",1069,87.3,2016,77.8,19.183333,,,0.037954,7.061538,,,713.0
"Jackson County, AL",1071,134.22352941176473,2004,95.3,,10.439628,,0.047563,,,,2119.0
"Jackson County, AL",1071,134.22352941176473,2005,129.4,,12.16129,,,,,,1470.0
"Jefferson County, AL",1073,94.4,2000,103.9,17.865914,,,0.0499998125,18.81844978571429,,,
"Jefferson County, AL",1073,94.4,2001,98.9,16.588734705882352,,,0.0443645555555555,16.391795357142858,,,2400.0
"Jefferson County, AL",1073,94.4,2002,108.4,19.477325,,,0.0441665555555555,15.9559484,,,1842.0
"Jefferson County, AL",1073,94.4,2003,103.3,22.28631383333333,,,0.0433575555555555,14.116634666666666,,,2042.0
"Jefferson County, AL",1073,94.4,2004,102.3,17.803585473684212,,,0.0422079999999999,15.039315375,,,1631.0
"Jefferson County, AL",1073,94.4,2005,90.4,17.471296315789473,,,0.0461235555555555,16.268705125,,,3073.0
"Jefferson County, AL",1073,94.4,2006,88.1,18.288559263157893,,,0.0495471111111111,15.589965125,,,2667.0
"Jefferson County, AL",1073,94.4,2007,90.2,19.314121,,,0.0501995185185185,16.10186308333333,,,2486.0
"Jefferson County, AL",1073,94.4,2008,92.6,17.902997722222224,,,0.0455191111111111,13.0347301875,,,2199.0
"Jefferson County, AL",1073,94.4,2009,87.5,17.745312,,,0.0390859999999999,10.480373875,163.493551,3.20654375,1417.0
"Jefferson County, AL",1073,94.4,2010,94.2,17.155543944444446,,,0.0479837272727272,11.7089266875,189.190751,3.281503,1648.0
"Jefferson County, AL",1073,94.4,2011,94.1,17.17543622222222,,18.787424,0.0466455555555555,11.8165810625,160.760474,2.794758,2802.0
"Jefferson County, AL",1073,94.4,2012,89.0,18.0308526,,10.494578,0.0454604444444444,10.860768375,170.588855,1.714106,2105.0
"Jefferson County, AL",1073,94.4,2013,89.3,17.465166,23.141935,16.833078,0.0399914285714285,10.427052,165.439809,1.76631,1788.0
"Jefferson County, AL",1073,94.4,2014,81.7,16.9627005,25.704919,62.96906,0.0415774285714285,10.92196525,180.830096,1.0825285,2044.0
"Jefferson County, AL",1073,94.4,2015,96.1,18.126272363636364,24.544025,65.131563,0.0397982857142857,10.628263100000002,163.1888275,3.1402985,2079.0
"Jefferson County, AL",1073,94.4,2016,94.8,18.681551272727276,26.1598215,66.312466,0.0445557142857142,9.5381872,174.0687845,1.751694,2052.0
"Lawrence County, AL",1079,114.81764705882354,2000,80.5,,,,0.052469,,,,
"Lawrence County, AL",1079,114.81764705882354,2001,45.9,,,,0.046133,,,,846.0
"Lawrence County, AL",1079,114.81764705882354,2002,95.1,,,,0.045169,,,,575.0
"Lawrence County, AL",1079,114.81764705882354,2003,98.6,,,,0.045875,,,,471.0
"Lawrence County, AL",1079,114.81764705882354,2004,78.7,,,,0.042876,,,,425.0
"Lawrence County, AL",1079,114.81764705882354,2005,98.7,,,,0.046632,,,,253.0
"Lawrence County, AL",1079,114.81764705882354,2006,108.7,,,,0.049258,,,,598.0
"Lawrence County, AL",1079,114.81764705882354,2007,119.6,,,,0.05191,,,,460.0
"Limestone County, AL",1083,71.58823529411765,2003,67.1,,12.613383,,0.052019,,,,160.0
"Limestone County, AL",1083,71.58823529411765,2004,76.2,,13.89011,,0.043839,,,,161.0
"Madison County, AL",1089,77.75294117647059,2000,73.7,17.546667,,,0.054264,16.2375,,,
"Madison County, AL",1089,77.75294117647059,2001,72.8,17.081818,,,0.050278,14.577686,,,360.0
"Madison County, AL",1089,77.75294117647059,2002,77.5,16.968966,,,0.046259,13.681034,,,286.0
"Madison County, AL",1089,77.75294117647059,2003,75.9,16.68916,,,0.049174,13.710435,,,193.0
"Madison County, AL",1089,77.75294117647059,2004,75.1,16.747500000000002,,,0.048004,13.433209666666665,,,287.0
"Madison County, AL",1089,77.75294117647059,2005,66.0,17.393333499999997,,,0.050206,14.37,,,372.0
"Madison County, AL",1089,77.75294117647059,2006,72.8,17.4987395,,,0.051599,13.228571,,,389.0
"Madison County, AL",1089,77.75294117647059,2007,74.4,18.494832,,,0.0541335,13.842247,,,457.0
"Madison County, AL",1089,77.75294117647059,2008,79.7,16.891372500000003,,,0.049678,12.232941,,,420.0
"Madison County, AL",1089,77.75294117647059,2009,80.7,16.907289,,,0.043714,9.967213,,,259.0
"Madison County, AL",1089,77.75294117647059,2010,74.1,16.882083,,,0.048914,11.585833,,,213.0
"Madison County, AL",1089,77.75294117647059,2011,81.0,17.054534,,,0.0472365,11.307692,,,210.0
"Madison County, AL",1089,77.75294117647059,2012,71.8,18.006342,,,0.0479814999999999,9.245833,,,220.0
"Madison County, AL",1089,77.75294117647059,2013,77.3,16.20653,,,0.043811,8.64,,,243.0
"Madison County, AL",1089,77.75294117647059,2014,82.0,15.9670015,,,0.0430105,9.0,,,286.0
"Madison County, AL",1089,77.75294117647059,2015,98.2,13.815833333333332,,,0.041002,8.335416500000001,,,186.0
"Madison County, AL",1089,77.75294117647059,2016,88.8,18.0533895,,,0.0450995,7.498395,,,382.0
"Mobile County, AL",1097,89.13529411764705,2000,82.8,19.932237666666666,,,0.0524395,15.208206,,,
"Mobile County, AL",1097,89.13529411764705,2001,79.0,19.529064666666667,,,0.0423785,12.831091666666666,,,2477.0
"Mobile County, AL",1097,89.13529411764705,2002,81.3,19.08252166666667,,67.915935,0.043726,11.9321558,176.1606152,,2886.0
"Mobile County, AL",1097,89.13529411764705,2003,88.4,19.4660794,,68.1310364,0.043772,12.5246145,189.4206484,,3439.0
"Mobile County, AL",1097,89.13529411764705,2004,79.4,18.8533418,,,0.045099,12.400507916666667,,,3277.0
"Mobile County, AL",1097,89.13529411764705,2005,84.5,20.4074554,,,0.0453665,12.71895875,,,3483.0
"Mobile County, AL",1097,89.13529411764705,2006,75.2,18.4738998,,,0.048212,11.85608225,,,2986.0
"Mobile County, AL",1097,89.13529411764705,2007,92.4,20.0650275,,,0.0463989999999999,10.830343,,,4755.0
"Mobile County, AL",1097,89.13529411764705,2008,85.5,20.118757,,,0.040675,9.799022,,,2941.0
"Mobile County, AL",1097,89.13529411764705,2009,84.7,20.279589,,,0.039325,9.117619,,,2269.0
"Mobile County, AL",1097,89.13529411764705,2010,83.8,19.532323,,,0.0442365,9.6331865,,,2839.0
"Mobile County, AL",1097,89.13529411764705,2011,95.4,20.5830785,,,0.0445875,9.73462,,,2530.0
"Mobile County, AL",1097,89.13529411764705,2012,92.6,20.976636,,,0.042172,8.765421,,,3386.0
"Mobile County, AL",1097,89.13529411764705,2013,100.5,19.65,,,0.03839,8.287179,,,2503.0
"Mobile County, AL",1097,89.13529411764705,2014,101.4,18.959322,,,0.040853,9.015254,,,2990.0
"Mobile County, AL",1097,89.13529411764705,2015,101.1,20.693913,,,0.0380034999999999,8.38,,,2653.0
"Mobile County, AL",1097,89.13529411764705,2016,107.3,18.522951,,,0.038458,8.078512,,,3341.0
"Montgomery County, AL",1101,77.04705882352941,2000,68.5,19.762083500000003,,,0.054145,17.8370435,,,
"Montgomery County, AL",1101,77.04705882352941,2001,76.2,18.5973135,,,0.04557,14.712265,,,1189.0
"Montgomery County, AL",1101,77.04705882352941,2002,86.0,19.75613033333333,,,0.044494,14.5098525,,,997.0
"Montgomery County, AL",1101,77.04705882352941,2003,84.0,18.451674333333333,,,0.041033,14.297367,,,802.0
"Montgomery County, AL",1101,77.04705882352941,2004,91.0,18.60955,,,0.040705,14.055665,,,1121.0
"Montgomery County, AL",1101,77.04705882352941,2005,75.1,18.924025666666665,,,0.044352,14.524904,,,875.0
"Montgomery County, AL",1101,77.04705882352941,2006,71.7,20.141307,,,0.047148,14.8665715,,,1446.0
"Montgomery County, AL",1101,77.04705882352941,2007,76.4,19.63228133333333,,,0.049716,14.31572725,,,1915.0
"Montgomery County, AL",1101,77.04705882352941,2008,76.9,19.332484,,,0.04484,12.370749,,,1737.0
"Montgomery County, AL",1101,77.04705882352941,2009,73.4,15.6750702,,,0.039506,7.439205142857142,,,709.0
"Montgomery County, AL",1101,77.04705882352941,2010,68.0,18.867016333333336,,,0.046711,11.480376666666666,,,1241.0
"Montgomery County, AL",1101,77.04705882352941,2011,67.6,19.09601733333333,,,0.046101,11.268143,,,1357.0
"Montgomery County, AL",1101,77.04705882352941,2012,77.8,20.64644266666667,,,0.043592,10.6151785,,,1602.0
"Montgomery County, AL",1101,77.04705882352941,2013,71.5,18.856156666666667,,,0.039188,9.15014,,,1147.0
"Montgomery County, AL",1101,77.04705882352941,2014,93.8,18.847376333333333,,,0.041317,9.5095065,,,1214.0
"Montgomery County, AL",1101,77.04705882352941,2015,74.1,16.537843666666667,,,0.039685,8.9872385,,,1290.0
"Montgomery County, AL",1101,77.04705882352941,2016,77.8,18.431967,,,0.043045,8.604894999999999,,,1995.0
"Morgan County, AL",1103,106.7764705882353,2000,89.1,21.313253,,,0.058473,18.546988,,,
"Morgan County, AL",1103,106.7764705882353,2001,76.1,15.9469445,,,0.049434,14.144815,,,585.0
"Morgan County, AL",1103,106.7764705882353,2002,110.9,16.796062000000003,,,0.048254,13.0230655,,,461.0
"Morgan County, AL",1103,106.7764705882353,2003,97.4,16.350622333333334,,,0.050094,14.0425,,,489.0
"Morgan County, AL",1103,106.7764705882353,2004,100.0,16.435698666666667,,,0.047408,12.275894,,,651.0
"Morgan County, AL",1103,106.7764705882353,2005,108.8,17.027990333333335,,,0.050349,13.455588,,,409.0
"Morgan County, AL",1103,106.7764705882353,2006,106.5,15.247412,,,0.051963,11.9424055,,,492.0
"Morgan County, AL",1103,106.7764705882353,2007,108.3,17.466942,,,0.053506,13.957975,,,490.0
"Morgan County, AL",1103,106.7764705882353,2008,110.5,15.798305,,,0.045616,11.373729,,,482.0
"Morgan County, AL",1103,106.7764705882353,2009,75.7,16.088235,,,0.041021,9.94064475,,,363.0
"Morgan County, AL",1103,106.7764705882353,2010,113.8,16.031967,,,0.048245,11.220542875,,,453.0
"Morgan County, AL",1103,106.7764705882353,2011,125.0,16.267227,,,0.046448,10.478151,,,450.0
"Morgan County, AL",1103,106.7764705882353,2012,107.4,17.480992,,,0.045412,8.908264,,,413.0
"Morgan County, AL",1103,106.7764705882353,2013,98.6,15.874167,,,0.041805,8.551639,,,522.0
"Morgan County, AL",1103,106.7764705882353,2014,127.9,16.091667,,,0.042021,9.360833,,,263.0
"Morgan County, AL",1103,106.7764705882353,2015,127.3,17.816667,,,0.040379,8.791667,,,502.0
"Morgan County, AL",1103,106.7764705882353,2016,131.9,14.503333,,,0.044963,7.365,,,816.0
"Russell County, AL",1113,97.42352941176468,2000,130.6,18.229358,,,,18.785321,,,
"Russell County, AL",1113,97.42352941176468,2001,88.7,18.989091,,,,16.400952,,,3144.0
"Russell County, AL",1113,97.42352941176468,2002,95.0,19.587,,,,15.231633,,,2388.0
"Russell County, AL",1113,97.42352941176468,2003,106.0,18.699065,,,0.038642,15.361111,,,1657.0
"Russell County, AL",1113,97.42352941176468,2004,52.5,20.042644000000003,,,0.044177,16.40536125,,,1561.0
"Russell County, AL",1113,97.42352941176468,2005,104.6,20.42998366666667,,,0.045984,15.6586915,,,1647.0
"Russell County, AL",1113,97.42352941176468,2006,97.1,19.504985,,,0.050402,15.6675,,,2252.0
"Russell County, AL",1113,97.42352941176468,2007,97.9,19.944389333333334,,,0.049792,15.221962083333333,,,1594.0
"Russell County, AL",1113,97.42352941176468,2008,105.0,19.492124333333333,,,0.044932,13.114413,,,3372.0
"Russell County, AL",1113,97.42352941176468,2009,105.4,19.065366333333333,,,0.039208,11.3055605,,,2003.0
"Russell County, AL",1113,97.42352941176468,2010,107.7,19.491444666666663,,,0.045984,13.0509865,,,2201.0
"Russell County, AL",1113,97.42352941176468,2011,94.7,19.96783433333333,,,0.04609,12.2568715,,,2535.0
"Russell County, AL",1113,97.42352941176468,2012,79.8,20.334375666666663,,,0.043389,11.3225,,,2960.0
"Russell County, AL",1113,97.42352941176468,2013,84.4,18.981930666666667,,,0.040061,9.7869825,,,1781.0
"Russell County, AL",1113,97.42352941176468,2014,59.0,18.41387966666667,,,0.040802,10.9044815,,,1653.0
"Russell County, AL",1113,97.42352941176468,2015,117.2,19.465167,,,0.038709,9.556748,,,2089.0
"Russell County, AL",1113,97.42352941176468,2016,130.6,21.02637,,,0.043352,9.150812,,,2167.0
"Shelby County, AL",1117,57.088235294117645,2000,43.3,18.353153,24.186364,,0.054373,16.54375,,,
"Shelby County, AL",1117,57.088235294117645,2001,62.3,18.020168,20.336245,,0.048854,14.72437,,,3181.0
"Shelby County, AL",1117,57.088235294117645,2002,59.1,18.251304,,,0.050008,13.682759,,,2438.0
"Shelby County, AL",1117,57.088235294117645,2003,64.5,15.538835,,,0.047808,14.365385,,,1822.0
"Shelby County, AL",1117,57.088235294117645,2004,59.1,18.158824,,,0.046684,13.873109,,,2880.0
"Shelby County, AL",1117,57.088235294117645,2005,52.4,16.797479,,,0.050159,14.893277,,,2278.0
"Shelby County, AL",1117,57.088235294117645,2006,44.7,17.367213,,,0.053302,14.103279,,,2289.0
"Shelby County, AL",1117,57.088235294117645,2007,51.8,19.011667,,,0.052559,14.454209833333332,,,2777.0
"Shelby County, AL",1117,57.088235294117645,2008,54.6,17.544915,,,0.046686,11.562712,,,3449.0
"Shelby County, AL",1117,57.088235294117645,2009,57.1,17.177586,,,0.039975,9.805983,,,1746.0
"Shelby County, AL",1117,57.088235294117645,2010,51.3,15.497143,,,0.048279,10.944762,,,2731.0
"Shelby County, AL",1117,57.088235294117645,2011,59.6,16.921488,,,0.046773,10.82314,,,1877.0
"Shelby County, AL",1117,57.088235294117645,2012,63.7,17.774561,,,0.045494,9.480702,,,2127.0
"Shelby County, AL",1117,57.088235294117645,2013,62.3,16.246218,,,0.041286,8.989076,,,1543.0
"Shelby County, AL",1117,57.088235294117645,2014,59.2,16.422105,,,0.041758,9.746939,,,1189.0
"Shelby County, AL",1117,57.088235294117645,2015,59.5,14.538462,,,0.040191,8.963462,,,1160.0
"Shelby County, AL",1117,57.088235294117645,2016,66.0,,,,0.044198,,,,2349.0
"Sumter County, AL",1119,96.26923076923076,2000,,19.248598,,,0.043166,15.325234,,,
"Sumter County, AL",1119,96.26923076923076,2001,109.4,17.521368,,,0.042901,12.055556,,,3307.0
"Sumter County, AL",1119,96.26923076923076,2002,83.5,17.38018,,,0.0399,11.607207,,,2399.0
"Sumter County, AL",1119,96.26923076923076,2003,83.7,16.581513,,,0.037721,12.112605,,,2746.0
"Sumter County, AL",1119,96.26923076923076,2004,90.8,18.862832,,,0.037083,11.326316,,,3147.0
"Sumter County, AL",1119,96.26923076923076,2005,77.8,18.008491,,,0.03977,12.133645,,,3226.0
"Sumter County, AL",1119,96.26923076923076,2006,99.6,16.796552,,,0.043778,11.555932,,,3927.0
"Sumter County, AL",1119,96.26923076923076,2007,,,,,0.043021,,,,5102.0
"Sumter County, AL",1119,96.26923076923076,2008,115.3,,,,0.035419,,,,3848.0
"Sumter County, AL",1119,96.26923076923076,2009,101.8,,,,0.033531,,,,3230.0
